symbol.keyword,ABOVE,ABOVE_1H,ABOVE_1H_BIG,ABOVE_1H_STAMP,btc_24h_now,BUY_H_NEGATIVE,BUY_H_POSITIVE,cmc_rank,condition,eth_24h_now,EXTREME_ABOVE,INDICATOR_1,INDICATOR_2,INDICATOR_3,INDICATOR_4,INDICATOR_5,INDICATOR_6,INDICATOR_7,INDICATOR_8,INDICATOR_9,INDICATOR_10,INDICATOR_11,JUST_CROSS_ABOVE,macd,macd_sline,macd_btc,macd_btc_sline,MACD_DAY_CURVED,MACD_DAY_NEGATIVE,MACD_DAY_POSITIVE,MACD_DAY_POSITIVE_BY_2,MACD_DAY_POSITIVE_EXTREME,market_count_15m,market_count_30m,market_count_now,outcome,pct.24h,pct.24h_8d.avg,percentiles_1,percentiles_5,percentiles_25,percentiles_50,percentiles_75,percentiles_95,percentiles_99,pnl,price_diff_change,price_diff_change_10h,price_diff_change_1d,ROC,roc_9d,roc_9d_btc,ROC_CURVED,ROC_CURVED_DAY_NEGATIVE,ROC_CURVED_DAY_POSITIVE,ROC_CURVED_HOUR_NEGATIVE,ROC_CURVED_HOUR_POSITIVE,ROC_CURVED_NOW,ROC_H,rsi,rsi_btc,RSI_CURVED,RSI_CURVED_H,RSI_DOWN_H,RSI_H,RSI_UP,STILL_ABOVE,tendancies_pct_down,tendancies_pct_up,track_candle_down_avg,track_candle_down_count,track_candle_up_avg,track_candle_up_count,volume_bybit_90d,volume_bybit_now,volume.90d.avg,volume.now,WHOLE_MARKET_CURVED,worked
GRTUSDT,False,False,False,False,0.009661,False,False,44,version_shaile_v3_price_diff,0.008657,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.019273,-0.020063,-1573.555117,-960.437167,False,False,False,False,False,349,332,340,win,-4.5e-05,0.006751720608052903,0.21057809878885747,0.23296146223407266,0.29146343399397845,0.3314403418232606,0.3470474004199562,0.4004047182897111,0.41586579611807156,23.00869213,0.101111,0.001727,0.012413,False,2.4094694488630886,-7.499409560457238,True,False,False,True,False,True,False,31.118216384376083,19.963671805777068,False,True,False,False,False,False,922.6206896551724,519.7777777777778,29.8046875,3815.0,32.73684210526316,2488.0,12077859.829578035,5705533.6829,111151028.48637943,57767767.86739478,True,-0.7597922798026104
YGGUSDT,False,False,False,False,0.009661,False,False,236,version_shaile_v3_price_diff,0.008657,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.087564,-0.076121,-1580.543151,-961.834774,False,False,False,False,False,349,332,340,win,0.02832,-0.01839224810152593,0.5970624546541109,0.7461855805314792,0.917264372492707,1.2272075660825512,1.3271345723856416,1.5089400733020866,1.6839907226562503,31.36302032,0.072201,0.003018,0.004063,False,-17.996914013185574,-7.631186640571985,False,False,False,True,False,True,False,17.18213058419245,19.809910670324257,False,True,False,False,False,False,850.4666666666667,534.3103448275862,31.380368098159508,5115.0,35.10588235294118,2984.0,12113368.658443488,4435257.6691,87425640.53047995,45756294.9505498,True,-0.47856872019122587
CVXUSDT,False,False,True,True,0.00014,False,False,176,version_shaile_v3,-0.001341,False,True,False,False,False,True,False,True,True,True,True,True,False,0.16993,0.14311,-1579.673636,-961.660871,False,False,True,False,False,202,216,195,win,0.107697,-0.0006946833119064225,2.0485920206705726,2.3763281654034345,2.7684619086129323,3.6179833447212566,3.834867274559084,4.195154886154028,4.244554763221741,54.64007175,0.224366,0.224366,0.224366,False,2.914663461538458,-7.614789720786019,False,False,False,False,False,False,True,64.4544997486174,19.828913902505562,False,True,False,True,False,False,843.8928571428571,641.4444444444445,43.742138364779876,6955.0,40.44,4044.0,10790236.615545375,20584631.9865,14479111.5763953,50173641.44355639,True,0.866398947456708
HOTUSDT,False,False,False,False,0.008641,False,False,169,version_shaile_v3_price_diff,0.003838,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.000148,-0.000144,-1568.266228,-959.379389,False,False,False,False,False,268,252,278,win,0.004354,-0.002386733260989099,0.0017884371979744174,0.002044594613090791,0.0024350445065951755,0.0029808585339984885,0.0031693621725949078,0.003425372057302769,0.0034643050804152153,8.57129855,0.097503,0.005215,0.005215,False,-3.9583333333333415,-7.399674167630666,True,False,False,True,False,True,False,30.602957906712163,20.08164211164292,False,True,False,False,False,False,802.4642857142857,637.2413793103449,27.135135135135137,3012.0,28.85135135135135,2135.0,2701950.3987483736,1164961.2565,15399483.770497348,8709421.12626453,True,-0.717915628965085
EOSUSDT,False,False,False,False,0.009387,False,False,79,version_shaile_v3_price_diff,0.00458,False,False,False,False,False,False,False,False,True,True,True,False,False,-0.055573,-0.055264,-1538.000701,-953.326284,False,False,False,False,False,299,306,312,win,0.001747,-0.007767670023163834,0.5641104537248611,0.6765841892466825,0.8159013573270537,0.9922805237419466,1.0766194076826083,1.108533418791303,1.1226136693954467,33.77259144,0.059475,-0.0,0.011041,False,-6.766428106701361,-6.828941014713585,False,False,False,True,False,True,False,22.40204429301535,21.62522958383734,False,True,False,False,False,False,791.9666666666667,637.6538461538462,22.469135802469136,1820.0,25.2,1008.0,16861842.698110115,8429552.1232,138192343.24073723,79394920.39889139,True,-0.9844998379985053
LPTUSDT,False,False,False,False,0.009661,False,False,117,version_shaile_v3_price_diff,0.008657,False,False,False,False,False,False,False,False,True,True,True,False,False,-1.147202,-0.609098,-1573.555117,-960.437167,False,False,False,False,False,349,332,340,win,0.039468,-0.015840430663121893,11.21996193011602,12.025130799635493,15.774283410039452,17.004485673262028,18.700068578908798,22.471481596992128,23.922029504776003,33.08289075,0.112607,0.004973,0.004973,False,-15.815097123186629,-7.499409560457238,False,False,False,True,False,True,False,13.159118385566842,19.963671805777068,False,True,False,False,False,False,820.0666666666667,638.7692307692307,38.271186440677965,6774.0,30.958677685950413,3746.0,16061058.31496171,6076196.4380,49162905.855082005,28325874.33105808,True,0.6979291392387923
ARBUSDT,False,False,False,False,0.009416,False,False,32,version_shaile_v3_price_diff,0.004794,False,False,False,False,False,True,False,False,True,True,True,False,True,-0.06802,-0.068436,-1538.000701,-953.326284,False,False,False,False,False,301,304,313,win,0.000243,-0.00384323283404827,0.7967837817192078,0.9317417366169766,1.13208120999498,1.4571882724116039,1.5432671270168452,1.6620786652323745,1.681457736492157,29.83275414,0.09161,0.006742,0.008353,False,-4.3680838672102595,-6.828941014713585,True,False,False,True,False,True,False,25.678696901948257,21.62522958383734,False,True,False,False,False,False,933.0,528.7777777777778,25.375,2436.0,28.836363636363636,1586.0,59224267.99081595,31617404.5580,363949968.73767054,189973932.79894653,True,-1.0700865117935363
ILVUSDT,False,False,False,False,0.009654,False,False,178,version_shaile_v3_price_diff,0.008654,False,False,False,False,False,False,False,False,True,True,True,False,False,-5.703051,-4.905101,-1573.555117,-960.437167,False,False,False,False,False,348,331,342,win,0.026519,-0.01305262033555712,66.70938995361328,79.30789273664237,95.02119391706253,123.63215664994168,130.54560823364926,138.98057942708334,141.62556860351563,31.6989225,0.086112,0.007158,0.02551,False,-11.915345319445358,-7.499409560457238,False,False,False,True,False,True,False,20.091889026329724,19.963671805777068,False,True,False,False,False,False,831.7586206896551,586.0714285714286,27.317460317460316,3442.0,31.041666666666668,2235.0,2978624.2973880614,982341.2212,15713732.116638226,6567421.02357256,True,-1.1311312978575518
AUDIOUSDT,False,False,False,False,0.009002,False,False,246,version_shaile_v3_price_diff,0.003838,False,False,False,False,False,True,False,False,True,True,True,False,False,-0.008868,-0.008353,-1568.266228,-959.379389,False,False,False,False,False,268,252,278,win,-0.005867,-0.00215300955865169,0.1482060178319613,0.15593487519702634,0.18900313680395942,0.266284745176419,0.2806315842140266,0.30835879583768233,0.31162760443157617,30.713874,0.087669,0.001265,0.001265,False,-3.785488958990535,-7.399674167630666,True,False,False,True,False,True,False,31.96046128500825,20.08164211164292,False,True,False,False,False,False,852.7666666666667,547.5357142857143,33.13793103448276,4805.0,33.80487804878049,2772.0,6284194.65195247,3007386.5564,20012840.44799398,8175059.4837415,True,-0.31584964512468705
OPUSDT,False,False,False,False,0.010257,False,False,47,version_shaile_v3_price_diff,0.009159,False,False,False,False,False,False,False,True,True,True,True,False,False,-0.176243,-0.168042,-1573.555117,-960.437167,False,False,False,False,False,346,330,342,win,0.006692,-0.008973857275652388,1.7730685725212094,2.055534533434863,2.518472018458295,3.008400948060333,3.249964742901343,3.6976985248294816,3.730077499290307,35.28342239,0.05957,0.00013,0.004622,False,-9.899762323034,-7.499409560457238,False,False,False,False,False,True,False,27.24909584086798,19.963671805777068,False,True,False,False,False,False,839.8333333333334,561.4074074074074,28.188524590163933,3439.0,28.419354838709676,1762.0,61611478.75215747,30123653.3352,278640556.8589913,159623282.92851216,True,-1.2183403083747564
ZECUSDT,False,False,False,False,-0.00052,False,False,167,version_shaile_v3_price_diff,-0.000731,False,False,False,False,False,False,False,False,True,True,True,False,False,-1.359846,-1.195798,-1590.825772,-963.891298,False,False,False,False,False,215,202,198,win,-0.014028,-0.006254376619588521,19.78003396511078,20.88476899181783,23.559881572123174,27.289379233476886,28.20962854907626,30.622818542112704,31.005280917031424,24.511935,0.031414,0.006478,0.016932,False,-9.35052970981115,-7.82509149932531,True,False,False,True,False,True,False,15.761821366024492,19.587915670506405,False,True,False,False,False,False,780.3666666666667,564.7333333333333,24.96938775510204,2447.0,26.946428571428573,1509.0,2629948.1036170935,1383401.9929,51980472.19252256,28710539.98863802,True,-0.4758974633660622
AAVEUSDT,False,False,False,False,0.009654,False,False,62,version_shaile_v3_price_diff,0.008654,False,False,False,False,False,True,False,False,True,True,True,False,False,-2.264512,-3.011973,-1580.543151,-961.834774,False,False,False,False,False,348,331,342,lost,-0.003855,0.014955698532543957,80.18977652036227,83.26574234484843,93.49385325113933,115.91560953359274,125.79733928516754,128.7239053058406,130.2497486368815,-183.2489962,0.160914,0.005693,0.011926,True,6.462625073572692,-7.631186640571985,False,False,False,True,False,True,False,50.62317687616017,19.809910670324257,False,True,False,False,False,False,883.0,528.7857142857143,26.394495412844037,2877.0,26.194444444444443,1886.0,10338536.807841241,18342715.3654,98127589.89708096,110444669.91963568,True,-0.31871424393298575
CRVUSDT,False,False,True,True,0.009413,False,False,154,buy_hour_trois_v2,0.016575,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.030538,-0.030551,-1695.598099,-1226.304031,False,True,False,False,False,384,386,380,win,0.003412,-0.01487279058809407,0.2901117910905318,0.33116200622648767,0.44362996930782644,0.6075663825559471,0.6277375423083194,0.6910488143072022,0.6958615827560425,34.16861636,0.039478,0.004062,0.018894,False,-9.53846153846155,-5.403869696106445,False,True,False,False,True,False,False,52.79755849440489,28.613964567515254,False,False,False,False,False,False,807.1935483870968,548.2758620689655,33.593023255813954,5778.0,37.06481481481482,4003.0,24806544.894151147,42537916.0066,77944695.96188244,107509234.50398685,False,-1.2908312778224005
